phulangsunguy	phulangsu/NPR+nguy/PAN
cicilul	cici/NNC+ngul/PCA
ngetko	nget/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kheyn	kheyn/NPR
lipingsuthennguyngwenngi	lipingsuthen/NPR+nguyngwen/NNC+ngi/PCA
thaltanghay	thaltang/NNC+ha/XSV+nge/ECS
tangnguy	tang/NNC+nguy/PAN
senkepingyong	senke/NNC+pingyong/NNC
cingwenngi	cingwen/NNC+ngi/PCA
ngepsnun	ngeps/VJ+nun/EAN
mwusosokngulo	mwusosok/NNC+ngulo/PAD
chwulmahal	chwulma/NNC+ha/XSV+ngul/EAN
swu	swu/NNX
ngissngul	ngiss/VX+ngul/EAN
kesngincilul	kes/NNX+ngi/CO+ngunci/EFN+ngul/PCA
cwangwuhanun	cwangwu/NNC+ha/XSV+nun/EAN
cwungngyohan	cwungngyo/NNC+ha/XSV+ngun/EAN
ngyonginngiki	ngyongin/NNC+ngi/CO+ki/ENM
ttaymwunngita	ttaymwun/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
tto	tto/ADC
kuka	ku/NPN+ngi/PCA
cinan	cinan/DAN
29	29/NNU
ngil	ngil/NNX
malhan	malha/VV+ngun/EAN
keschelem	kes/NNX+chelem/PAU
myengngyeylongwun	myengngyeylop/VJ+ngun/EAN
tolphakwulul	tolphakwu/NNC+ngul/PCA
chacki	chac/VV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
nolyekhako	nolyek/NNC+ha/XSV+ko/ECS
ngissngumye	ngiss/VX+ngumye/ECS
mwunceyhaykyelngey	mwuncey/NNC+haykyel/NNC+ngey/PAD
sikanngi	sikan/NNC+ngi/PCA
philngyohatako	philngyo/NNC+ha/XSJ+ta/EFN+ko/PAD
malhay	malha/VV+nge/ECS
ngikathngun	ngi/NPN+kath/VJ+ngun/EAN
kanungsengngul	kanungseng/NNC+ngul/PCA
nophngiko	nophngi/VV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
kunguy	ku/NPN+nguy/PAN
sathoylul	sathoy/NNC+ngul/PCA
congngyonghako	congngyong/NNC+ha/XSV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
thoni	thoni/NPR
pulleynge	pulleynge/NPR
chongli	chongli/NNC
cinngyengto	cinngyeng/NPR+to/PAU
hwuposenceng	hwupo/NNC+senceng/NNC
mwunceylo	mwuncey/NNC+ngulo/PAD
talngangolun	talngangolu/VV+ngun/EAN
pwunngwikilul	pwunngwiki/NNC+ngul/PCA
sikhiko	sikhi/VV+ko/ECS
kungey	ku/NPN+ngey/PAD
tayhan	tayha/VV+ngun/EAN
taycwungcek	taycwung/NNC+cek/XSF
nginkinguy	nginki/NNC+nguy/PAN
kimngul	kim/NNC+ngul/PCA
ppayki	ppay/VV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
sikanngi	sikan/NNC+ngi/PCA
philngyohamye	philngyo/NNC+ha/XSJ+ngumye/ECS
ttalase	ttalase/ADC
lipingsuthenngeykey	lipingsuthen/NPR+ngeykey/PAD
senkengyunginmwul	senke/NNC+ngyunginmwul/NNC
palsongpingyongnguy	palsong/NNC+pingyong/NNC+nguy/PAN
cengpwupwutamngi	cengpwu/NNC+pwutam/NNC+ngi/PCA
choycong	choycong/NNC
hwakcengtoynun	hwakceng/NNC+toy/XSV+nun/EAN
naycwukkacinun	naycwu/NNC+kkaci/PAU+ngun/PAU
ngettehan	ngettehan/DAN
kyelcengto	kyelceng/NNC+to/PAU
naylici	nayli/VV+ci/ECS
nganhtolok	nganh/VX+tolok/ECS
ngyutohalyenun	ngyuto/NNC+ha/XSV+ngulye/ECS+ngun/EAN
thayseyta	thaysey/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
cinan	cinan/DAN
28	28/NNU
ngil	ngil/NNX
ngissngessten	ngiss/VX+ngess/EPF+ten/EAN
con	con/NPR
phuleysukhothu	phuleysukhothu/NPR
pwuchonglingwa	pwuchongli/NNC+kwa/PCJ
lipingsuthen	lipingsuthen/NPR
nguyngwenkannguy	nguyngwen/NNC+kan/XSF+nguy/PAN
2	2/NNU
sikanngey	sikan/NNX+ngey/PAD
kelchin	kelchi/VV+ngun/EAN
toktaynun	toktay/NNC+ngun/PAU
kyochaksangthaylo	kyochak/NNC+sangthay/NNC+ngulo/PAD
kkuthnassnguna	kkuthna/VV+ngess/EPF+nguna/ECS
ngacikto	ngacik/NNC+to/PAU
lipingsuthen	lipingsuthen/NPR
nguyngwenngi	nguyngwen/NNC+ngi/PCA
susulo	susulo/ADV
mwullesel	mwullese/VV+ngul/EAN
kihoynun	kihoy/NNC+ngun/PAU
namkyetwun	namkyetwu/VV+ngun/EAN
kesngita	kes/NNX+ngi/CO+ta/EFN
.	./SFN
^EOS
thukhi	thukhi/ADV
lentenkamlikyohol	lenten/NPR+kamlikyo/NNC+hol/NNC
tholonhoyngeysenguy	tholonhoy/NNC+ngeyse/PAD+nguy/PAN
kunguy	ku/NPN+nguy/PAN
palngenngulo	palngen/NNC+ngulo/PAD
pulleynge	pulleynge/NPR
chonglichukngun	chongli/NNC+chukngun/NNC
mayngwu	mayngwu/ADV
komwutoyko	komwu/NNC+toy/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
ttalase	ttalase/ADC
ngonkac	ngonkac/DAN
huksayksencenngul	huksayk/NNC+sencen/NNC+ngul/PCA
tongngwenhan	tongngwen/NNC+ha/XSV+ngun/EAN
ngyangchuknguy	ngyangchuk/NNC+nguy/PAN
kkakknganayliki	kkakknganayli/VV+ki/ENM
kyengcayngngun	kyengcayng/NNC+ngun/PAU
ngiltanlaktwayssko	ngiltanlak/NNC+toy/XSV+ngess/EPF+ko/ECS
ngyangchuk	ngyangchuk/NNC
selonguy	selo/NNC+nguy/PAN
philngyongey	philngyo/NNC+ngey/PAD
nguyhay	nguyha/VV+nge/ECS
naycwukkacinun	naycwu/NNC+kkaci/PAU+ngun/PAU
sokangsangthayka	sokang/NNC+sangthay/NNC+ngi/PCA
ngingecil	ngingeci/VV+ngul/EAN
cenmangngita	cenmang/NNC+ngi/CO+ta/EFN
.	./SFN
^EOS
ngyengkwukcengpwunun	ngyengkwuk/NPR+cengpwu/NNC+ngun/PAU
2	2/NNU
ngil	ngil/NNX
cwung	cwung/NNC
cen	cen/DAN
chilley	chilley/NPR
tokcayca	tokcayca/NNC
ngangwukwusutho	ngangwukwusutho/NPR
phinocheythunguy	phinocheythu/NPR+nguy/PAN
choycong	choycong/NNC
cheli	cheli/NNC
pangchimngul	pangchim/NNC+ngul/PCA
palphyohal	palphyo/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngilako/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cayk	cayk/NPR
suthulo	suthulo/NPR
naymwucangkwanngun	naymwu/NNC+cangkwan/NNC+ngun/PAU
casinngi	casin/NNC+ngi/PCA
2	2/NNU
ngil	ngil/NNX
ngocen	ngocen/NNC
8	8/NNU
si	si/NNX
(	(/SLQ
hankwuksikan	hankwuk/NPR+sikan/NNC
ngohwu	ngohwu/NNC
5	5/NNU
si	si/NNX
)	)/SRQ
phinocheythunguy	phinocheythu/NPR+nguy/PAN
sekpang	sekpang/NNC
ttonun	ttonun/ADC
supheyngin	supheyngin/NPR
nginto	nginto/NNC
ngyepwungey	ngyepwu/NNC+ngey/PAD
tayhan	tayha/VV+ngun/EAN
choycong	choycong/NNC
kyelcengngul	kyelceng/NNC+ngul/PCA
palphyohal	palphyo/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
1	1/NNU
ngil	ngil/NNX
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
suthulo	suthulo/NPR
cangkwanngun	cangkwan/NNC+ngun/PAU
nguyhoyngey	nguyhoy/NNC+ngey/PAD
tayhan	tayha/VV+ngun/EAN
semyen	semyen/NNC
tappyenngeyse	tappyen/NNC+ngeyse/PAD
ngolhay	ngolhay/NNC
84	84/NNU
seynguy	sey/NNX+nguy/PAN
phinocheythungey	phinocheythu/NPR+ngey/PAD
tayhan	tayha/VV+ngun/EAN
nginto	nginto/NNC
ngyepwu	ngyepwu/NNC
kyelcengngul	kyelceng/NNC+ngul/PCA
'^LQ	'/SLQ
chwungpwunhan	chwungpwun/NNC+ha/XSV+ngun/EAN
ngingyutul	ngingyu/NNC+tul/XSF
'^RQ	'/SRQ
kwa	kwa/PAD
hamkkey	hamkkey/ADV
kongphyohal	kongphyo/NNC+ha/XSV+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
manngyak	manngyak/ADV
suthulo	suthulo/NPR
cangkwanngi	cangkwan/NNC+ngi/PCA
phinocheythunguy	phinocheythu/NPR+nguy/PAN
sekpangngul	sekpang/NNC+ngul/PCA
kyelcenghal	kyelceng/NNC+ha/XSV+ngul/EAN
kyengngwu	kyengngwu/NNC
ngingey	ngi/NPN+ngey/PAD
tayhan	tayha/VV+ngun/EAN
hangsoka	hangso/NNC+ngi/PCA
tasi	tasi/ADV
kanunghana	kanung/NNC+ha/XSJ+nguna/ECS
ngintomwunceynguy	nginto/NNC+mwuncey/NNC+nguy/PAN
kyengngwu	kyengngwu/NNC
naymwucangkwanngi	naymwu/NNC+cangkwan/NNC+ngi/PCA
kwangpemhan	kwangpem/NNC+ha/XSJ+ngun/EAN
caylyangkwenngul	caylyangkwen/NNC+ngul/PCA
kacko	kac/VV+ko/ECS
ngissnge	ngiss/VX+nge/ECS
sengkonghal	sengkong/NNC+ha/XSV+ngul/EAN
kanungsengngi	kanungseng/NNC+ngi/PCA
manhci	manh/VJ+ci/ECS
nganhta	nganh/VX+ta/EFN
.	./SFN
^EOS
heylmwuthu	heylmwuthu/NPR
khol	khol/NPR
cen	cen/DAN
tokngil	tokngil/NPR
chonglika	chongli/NNC+ngi/PCA
pwulpepcengchicakum	pwulpep/NNC+cengchi/NNC+cakum/NNC
cosengngulo	coseng/NNC+ngulo/PAD
pelkumngul	pelkum/NNC+ngul/PCA
mwulngengya	mwut/VV+ngengya/ECS
halcito	ha/VX+ngulci/EFN+to/PAU
molul	molu/VV+ngul/EAN
sosok	sosok/NNC
kimintang	kimintang/NPR
(	(/SLQ
CDU	CDU/NFW
)	)/SRQ
cingwenngul	cingwen/NNC+ngul/PCA
ngwihay	ngwiha/VV+nge/ECS
600	600/NNU
manmalukhu	man/NNU+malukhu/NNX
(	(/SLQ
300	300/NNU
mantalle	man/NNU+talle/NNX
)	)/SRQ
lul	ngul/PCA
cosengcwungngey	coseng/NNC+cwung/NNC+ngey/PAD
ngisstako	ngiss/VX+ta/EFN+ko/PAD
han	ha/VV+ngun/EAN
cwukancika	cwukanci/NNC+ngi/PCA
1	1/NNU
ngil	ngil/NNX
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kyengceycwukanci	kyengcey/NNC+cwukanci/NNC
piluthusyaphuthusupokheynun	piluthusyaphuthusupokhey/NPR+ngun/PAU
picakum	picakum/NNC
coseng	coseng/NNC
tung	tung/NNX
pilihyemnguylo	pili/NNC+hyemnguy/NNC+ngulo/PAD
cinantal	cinantal/NNC
4	4/NNU
chen	chen/NNU
130	130/NNU
manmalukhu	man/NNU+malukhu/NNX
(	(/SLQ
2	2/NNU
chen	chen/NNU
60	60/NNU
mantalle	man/NNU+talle/NNX
)	)/SRQ
nguy	nguy/PAN
pelkumnappwuka	pelkum/NNC+nappwu/NNC+ngi/PCA
kyelcengtoyn	kyelceng/NNC+toy/XSV+ngun/EAN
kimintangngul	kimintang/NPR+ngul/PCA
cingwenkhi	cingwen/NNC+ha/XSV+ki/ENM
ngwihay	ngwiha/VV+nge/ECS
khol	khol/NPR
cen	cen/DAN
chonglika	chongli/NNC+ngi/PCA
caykyey	caykyey/NNC
chincitullopwuthe	chinci/NNC+tul/XSF+ngulopwuthe/PAD
ngimi	ngimi/ADV
300	300/NNU
manmalukhulul	man/NNU+malukhu/NNX+ngul/PCA
hwakpohay	hwakpo/NNC+ha/XSV+nge/ECS
nohngasstako	noh/VX+ngess/EPF+ta/EFN+ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
khol	khol/NPR
cen	cen/DAN
chonglinun	chongli/NNC+ngun/PAU
naytal	naytal/NNC
9	9/NNU
ngil	ngil/NNX
ngeyseynngeyse	ngeyseyn/NPR+ngeyse/PAD
kaychoytoynun	kaychoy/NNC+toy/XSV+nun/EAN
tangtayhoyngey	tang/NNC+tayhoy/NNC+ngey/PAD
ngaphse	ngaphse/ADV
ngi	ngi/DAN
tonngul	ton/NNC+ngul/PCA
cipwulhakey	cipwul/NNC+ha/XSV+key/ECS
toykilul	toy/VV+ki/ENM+ngul/PCA
palako	pala/VV+ko/ECS
ngisstako	ngiss/VX+ta/EFN+ko/PAD
ngi	ngi/DAN
cwukancinun	cwukanci/NNC+ngun/PAU
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
tokngilcengtangpepngun	tokngil/NPR+cengtangpep/NNC+ngun/PAU
mikongkay	mikongkay/NNC
tangcingwenkumnguy	tang/NNC+cingwenkum/NNC+nguy/PAN
kyengngwu	kyengngwu/NNC
3	3/NNU
payngey	pay/NNX+ngey/PAD
talhanun	talha/VV+nun/EAN
pelkumngul	pelkum/NNC+ngul/PCA
mwultolok	mwul/VV+tolok/ECS
kyucenghako	kyuceng/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
khol	khol/NPR
cen	cen/DAN
chonglinun	chongli/NNC+ngun/PAU
200	200/NNU
manmalukhu	man/NNU+malukhu/NNX
(	(/SLQ
100	100/NNU
mantalle	man/NNU+talle/NNX
)	)/SRQ
nguy	nguy/PAN
picakum	picakum/NNC
coseng	coseng/NNC
sasilngul	sasil/NNC+ngul/PCA
singinhako	singin/NNC+ha/XSV+ko/ECS
ngissnuntey	ngiss/VX+nuntey/ECS
henkum	henkum/NNC
kipwucanguy	kipwuca/NNC+nguy/PAN
ngilumngun	ngilum/NNC+ngun/PAU
palkhici	palkhi/VV+ci/ECS
nganhko	nganh/VX+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
hanphyen	hanphyen/ADC
khol	khol/NPR
cen	cen/DAN
chonglichukngun	chongli/NNC+chuk/XSF+ngun/PAU
ngikathngun	ngi/NPN+kath/VJ+ngun/EAN
potongey	poto/NNC+ngey/PAD
ngilchey	ngilchey/NNC
ngenkupngul	ngenkup/NNC+ngul/PCA
hoyphihako	hoyphi/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
lesinganun	lesinga/NPR+ngun/PAU
cheycheynkwanguy	cheycheyn/NPR+kwa/PAD+nguy/PAN
cencayngngi	cencayng/NNC+ngi/PCA
kkuthnamyen	kkuthna/VV+ngumyen/ECS
cheycheynngey	cheycheyn/NPR+ngey/PAD
sangtanghan	sangtang/NNC+ha/XSV+ngun/EAN
cachikwenngul	cachikwen/NNC+ngul/PCA
pwungyehakeyssciman	pwungye/NNC+ha/XSV+keyss/EPF+ci/EFN+man/PAU
thukswucingwinun	thukswu/NNC+cingwi/NNC+ngun/PAU
ngincenghaci	nginceng/NNC+ha/XSV+ci/ECS
nganhngul	nganh/VX+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
khuleymlinkwung	khuleymlin/NPR+kwung/NNC
taypyennginngi	taypyenngin/NNC+ngi/PCA
1	1/NNU
ngil	ngil/NNX
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
khuleymlinkwungnguy	khuleymlin/NPR+kwung/NNC+nguy/PAN
seylukeyngi	seylukeyngi/NPR
ngyasuthuluceymsukhi	ngyasuthuluceymsukhi/NPR
taypyennginngun	taypyenngin/NNC+ngun/PAU
nginal	nginal/NNC
"^LQ	"/SLQ
cheycheynngun	cheycheyn/NPR+ngun/PAU
thukswucingwika	thukswu/NNC+cingwi/NNC+ngi/PCA
nganin	ngani/VJ+ngun/EAN
lesinganguy	lesinga/NPR+nguy/PAN
ngyetha	ngyetha/NNC
konghwakwukkwa	konghwakwuk/NNC+kwa/PAD
tongngilhan	tongngil/NNC+ha/XSJ+ngun/EAN
cingwilul	cingwi/NNC+ngul/PCA
cinil	cini/VV+ngul/EAN
kes	kes/NNX
"^RQ	"/SRQ
ngilamyense	ngi/CO+la/EFN+myense/ECS
"^LQ	"/SLQ
ngilehan	ngilehan/DAN
cingwingeynun	cingwi/NNC+ngey/PAD+ngun/PAU
chwungpwunhan	chwungpwun/NNC+ha/XSV+ngun/EAN
swucwunnguy	swucwun/NNC+nguy/PAN
cachika	cachika/NNC
phohamtoynta	phoham/NNC+toy/XSV+nunta/EFN
"^RQ	"/SRQ
ko	ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
lesinganun	lesinga/NPR+ngun/PAU
caknyen	caknyen/NNC
10	10/NNU
ngwel	ngwel/NNX
cheycheyn	cheycheyn/NPR
chimkong	chimkong/NNC
hwu	hwu/NNC
cinan	cinan/DAN
96	96/NNU
nyen	nyen/NNX
lesinga-cheycheynkan	lesinga/NPR+-/SSY+cheycheyn/NPR+kan/XSF
cheykyeltoyn	cheykyel/NNC+toy/XSV+ngun/EAN
phyenghwahyepcengngun	phyenghwa/NNC+hyepceng/NNC+ngun/PAU
mwuhyohwa	mwuhyohwa/NNC
toyn	toy/VV+ngun/EAN
kesngulo	kes/NNX+ngulo/PAD
kancwuhako	kancwu/NNC+ha/XSV+ko/ECS
ngissta	ngiss/VX+ta/EFN
.	./SFN
^EOS
mikwuk	mikwuk/NPR
sapeptangkwukngun	sapep/NNC+tangkwuk/NNC+ngun/PAU
misikancwu	misikan/NPR+cwu/NNC
phullinthusi	phullinthu/NPR+si/NNC
ngoykwak	ngoykwak/NNC
pyungel	pyungel/NPR
chotunghakkyongeyse	chotunghakkyo/NNC+ngeyse/PAD
palsaynghan	palsayng/NNC+ha/XSV+ngun/EAN
chongki	chongki/NNC
sakennguy	saken/NNC+nguy/PAN
ngyongnguycangin	ngyongnguyca/NNC+ngi/CO+ngun/EAN
namhaksayngkwa	namhaksayng/NNC+kwa/PCJ
han	han/NNU
cipngey	cip/NNC+ngey/PAD
salko	sal/VV+ko/ECS
ngissten	ngiss/VX+ten/EAN
samchonngul	samchon/NNC+ngul/PCA
cheyphohaysstako	cheypho/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
1	1/NNU
ngil	ngil/NNX
palphyohayssta	palphyo/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
sakenngul	saken/NNC+ngul/PCA
tamtanghan	tamtang/NNC+ha/XSV+ngun/EAN
ceyneysi	ceyneysi/NPR
khangwunthinguy	khangwunthi/NPR+nguy/PAN
ngase	ngase/NPR
pwusi	pwusi/NPR
kemsanun	kemsa/NNC+ngun/PAU
`^LQ	`/SLQ
semakhesu	semakhesu/NPR
ngwinphuli	ngwinphuli/NPR
'^RQ	'/SRQ
lo	ngulo/PAD
ngallyecin	ngallyeci/VV+ngun/EAN
namcaka	namca/NNC+ngi/PCA
ngipen	ngipen/NNC
sakenkwanun	saken/NNC+kwa/PAD+ngun/PAU
mwukwanhana	mwukwan/NNC+ha/XSJ+nguna/ECS
mangyak	mangyak/NNC
mich	mich/ADC
tonantanghan	tonantangha/VV+ngun/EAN
kwenchongsoci	kwenchong/NNC+soci/NNC
hyemnguytungngulo	hyemnguy/NNC+tung/NNX+ngulo/PAD
cheyphotwaysstako	cheypho/NNC+toy/XSV+ngess/EPF+ta/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
pwusi	pwusi/NPR
kemsanun	kemsa/NNC+ngun/PAU
kheyngille	kheyngille/NPR
lollayntulo	lollayntu/NPR+ngulo/PAD
ngallyecin	ngallyeci/VV+ngun/EAN
sonyenguy	sonye/NNC+nguy/PAN
salhayngey	salhay/NNC+ngey/PAD
sangyongtoyn	sangyong/NNC+toy/XSV+ngun/EAN
kwenchong	kwenchong/NNC
songyucwungin	songyucwu/NNC+ngi/CO+ngun/EAN
talun	talu/VJ+ngun/EAN
ngyongnguyca	ngyongnguyca/NNC
swusaykngey	swusayk/NNC+ngey/PAD
kyengchalngi	kyengchal/NNC+ngi/PCA
tongngwentwaysstako	tongngwen/NNC+toy/XSV+ngess/EPF+ta/EFN+ko/PAD
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
pwusi	pwusi/NPR
kemsanun	kemsa/NNC+ngun/PAU
namhaksayngngi	namhaksayng/NNC+ngi/PCA
casinngi	casin/NNC+ngi/PCA
cecilun	cecilu/VV+ngun/EAN
hayngtongnguy	hayngtong/NNC+nguy/PAN
cwungtaysengngul	cwungtayseng/NNC+ngul/PCA
nginsikhaci	nginsik/NNC+ha/XSV+ci/ECS
moshako	mosha/VX+ko/ECS
ngissnun	ngiss/VX+ngun/EAN
kes	kes/NNX
kathtako	kath/VJ+ta/EFN+ko/PAD
malhayssta	malha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
ngi	ngi/DAN
haksayngngun	haksayng/NNC+ngun/PAU
kulena	kulena/ADC
7	7/NNU
sey	sey/NNX
ngihanguy	ngiha/NNC+nguy/PAN
misengnyencanun	misengnyenca/NNC+ngun/PAU
kisohal	kiso/NNC+ha/XSV+ngul/EAN
swu	swu/NNX
ngepstanun	ngeps/VJ+ta/EFN+nun/EAN
misikancwupepngey	misikan/NPR+cwu/NNC+pep/NNC+ngey/PAD
ttala	ttalu/VV+nge/ECS
cayphanngey	cayphan/NNC+ngey/PAD
hoypwutoycinun	hoypwu/NNC+toy/XSV+nge/ECS+ci/VX+nun/EAN
nganhngul	nganh/VX+ngul/EAN
kesngilako	kes/NNX+ngi/CO+la/EFN+ko/PAD
pwusi	pwusi/NPR
kemsanun	kemsa/NNC+ngun/PAU
tespwuthngyessta	tespwuthngi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
6	6/NNU
seynguy	sey/NNX+nguy/PAN
ngi	ngi/DAN
namhaksayngngun	namhaksayng/NNC+ngun/PAU
cinantal	cinantal/NNC
29	29/NNU
ngil	ngil/NNX
ngocen	ngocen/NNC
10	10/NNU
sikkey	si/NNX+kkey/XSF
kyosilnganngeyse	kyosil/NNC+ngan/NNC+ngeyse/PAD
kyosangwa	kyosa/NNC+kwa/PCJ
talun	talu/VJ+ngun/EAN
haksayngtulngi	haksayng/NNC+tul/XSF+ngi/PCA
cikhyepoko	cikhyepo/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kangwuntey	kangwuntey/NNC
kathngun	kath/VJ+ngun/EAN
panlollayntungyangnguy	panlollayntu/NPR+ngyang/XSF+nguy/PAN
mokngul	mok/NNC+ngul/PCA
hyanghay	hyangha/VV+nge/ECS
kwenchong	kwenchong/NNC
1	1/NNU
palngul	pal/NNX+ngul/PCA
palsa	palsa/NNC
,	,/SCM
sonyenun	sonye/NNC+ngun/PAU
saken	saken/NNC
cikhwu	cikhwu/NNC
pyengngwenngulo	pyengngwen/NNC+ngulo/PAD
ngolmkyecyessnguna	ngolmki/VV+nge/ECS+ci/VX+ngess/EPF+nguna/ECS
ngyak	ngyak/DAN
30	30/NNU
pwunmanngey	pwun/NNX+man/XSF+ngey/PAD
swumcyessta	swumci/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
cinantal	cinantal/NNC
29	29/NNU
ngil	ngil/NNX
mikwuk	mikwuk/NPR
misikancwu	misikan/NPR+cwu/NNC
chotunghakkyongeyse	chotunghakkyo/NNC+ngeyse/PAD
6	6/NNU
salnan	sal/NNX+na/XSJ+ngun/EAN
namhaksayngngi	namhaksayng/NNC+ngi/PCA
kathngun	kath/VJ+ngun/EAN
pan	pan/NNC
ngyehaksayngngul	ngyehaksayng/NNC+ngul/PCA
kwenchongngulo	kwenchong/NNC+ngulo/PAD
salhayhan	salhayha/VV+ngun/EAN
ci	ci/NNX
halwumanngin	halwu/NNC+man/XSF+ngi/CO+ngun/EAN
1	1/NNU
ngil	ngil/NNX
pheynsilpeynginingacwu	pheynsilpeyngininga/NPR+cwu/NNC
phichupekusi	phichupeku/NPR+si/NNC
ngoykwaknguy	ngoykwak/NNC+nguy/PAN
han	han/NNU
mayktoneltu	mayktoneltu/NPR
haympeku	haympeku/NNC
kakeyngey	kakey/NNC+ngey/PAD
koyhanngi	koyhan/NNC+ngi/PCA
chimngip	chimngip/NNC
,	,/SCM
chongkilul	chongki/NNC+ngul/PCA
nansahangye	nansa/NNC+ha/XSV+nge/ECS
5	5/NNU
myengngi	myeng/NNX+ngi/PCA
tachyesstako	tachi/VV+ngess/EPF+ta/EFN+ko/PAD
kyengchalngi	kyengchal/NNC+ngi/PCA
palkhyessta	palkhi/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
hyenci	hyenci/NNC
KDKA-TV	KDKA-TV/NFW
pangsongngun	pangsong/NNC+ngun/PAU
pemnginngi	pemngin/NNC+ngi/PCA
hyencay	hyencay/NNC
nginkun	nginkun/NNC
kenmwulngeyse	kenmwul/NNC+ngeyse/PAD
ngincilngul	ngincil/NNC+ngul/PCA
capko	cap/VV+ko/ECS
kyengchalkwa	kyengchal/NNC+kwa/PAD
taychicwungngilako	taychi/NNC+cwung/NNC+ngi/CO+la/EFN+ko/PAD
potohayssta	poto/NNC+ha/XSV+ngess/EPF+ta/EFN
.	./SFN
^EOS
phoksu	phoksu/NPR
TV	TV/NFW
pangsongngun	pangsong/NNC+ngun/PAU
1	1/NNU
myengngi	myeng/NNX+ngi/PCA
samanghaysstako	samang/NNC+ha/XSV+ngess/EPF+ta/EFN+ko/PAD
cenhayssta	cenha/VV+ngess/EPF+ta/EFN
.	./SFN
^EOS
kwukceythonghwakikum	kwukceythonghwakikum/NPR
(	(/SLQ
IMF	IMF/NFW
)	)/SRQ
ngun	ngun/PAU
mikwukkwa	mikwuk/NPR+kwa/PCJ
ngyulepngi	ngyulep/NPR+ngi/PCA
sinngim	sinngim/NNC
chongcay	chongcay/NNC
nginsenngul	nginsen/NNC+ngul/PCA
nohko	noh/VV+ko/ECS
chemngyeyhakey	chemngyey/NNC+ha/XSJ+key/ECS
macseko	macse/VV+ko/ECS
ngissnun	ngiss/VX+nun/EAN
kangwuntey	kangwuntey/NNC
2	2/NNU
ngil	ngil/NNX
chongcay	chongcay/NNC
hwupotulngey	hwupo/NNC+tul/XSF+ngey/PAD
tayhan	tayha/VV+ngun/EAN
pimil	pimil/NNC
senhoto	senhoto/NNC
cosa	cosa/NNC
(	(/SLQ
secret	secret/NFW
ballot	ballot/NFW
straw	straw/NFW
poll	poll/NFW
)	)/SRQ
lul	ngul/PCA
thonghay	thongha/VV+nge/ECS
chongcay	chongcay/NNC
senchwul	senchwul/NNC
celchangey	celcha/NNC+ngey/PAD
cengsikngulo	cengsik/NNC+ngulo/PAD
tolngiphanta	tolngip/NNC+ha/XSV+nunta/EFN
.	./SFN
^EOS
IMF	IMF/NFW
sosikthongtulngey	sosikthong/NNC+tul/XSF+ngey/PAD
ttalumyen	ttalu/VV+ngumyen/ECS
24	24/NNU
kay	kay/NNX
ngisakwukngi	ngisakwuk/NNC+ngi/PCA
chamngyehanun	chamngye/NNC+ha/XSV+nun/EAN
senhoto	senhoto/NNC
cosanun	cosa/NNC+ngun/PAU
hyencaykkaci	hyencay/NNC+kkaci/PAU
chwuchentoyn	chwuchen/NNC+toy/XSV+ngun/EAN
hwupo	hwupo/NNC
